10 40
8 7 804289384
6 4 714636916
10 3 719885387
8 3 189641422
4 10 783368691
7 1 967513927
2 7 304089173
10 8 521595369
3 1 336465783
6 8 233665124
3 3 101513930
8 10 635723059
2 7 59961394
4 10 656478043
5 10 859484422
5 9 756898538
4 1 149798316
1 2 184803527
3 4 911759957
2 7 42999171
5 6 511702306
6 7 827336328
4 10 805750847
6 5 433925858
5 6 939819583
5 5 548233368
8 1 374344044
9 7 356426809
4 5 780695789
10 5 918502652
7 1 53999933
3 10 843993369
5 7 855636227
1 6 956297540
8 9 40651435
3 8 892066602
3 3 330573318
1 2 660260757
6 2 402724287
10 5 894429690
